"model_name","sigma2","n","method","alpha","selection_rate","mean_acv_size"
"model1",1,40,"cvc_frac",0.05,1,6.32
"model2",1,40,"cvc_frac",0.05,1,1.71
"model1",4,40,"cvc_frac",0.05,0.978333333333333,6.67
"model2",4,40,"cvc_frac",0.05,0.99,1.78
"model1",1,80,"cvc_frac",0.05,1,6.56
"model2",1,80,"cvc_frac",0.05,1,1.79
"model1",4,80,"cvc_frac",0.05,1,6.71
"model2",4,80,"cvc_frac",0.05,0.99,1.73
"model1",1,160,"cvc_frac",0.05,1,6.32
"model2",1,160,"cvc_frac",0.05,1,1.69
"model1",4,160,"cvc_frac",0.05,1,6.21
"model2",4,160,"cvc_frac",0.05,1,1.75
"model1",1,320,"cvc_frac",0.05,1,6.23
"model2",1,320,"cvc_frac",0.05,1,1.83
"model1",4,320,"cvc_frac",0.05,1,6.46
"model2",4,320,"cvc_frac",0.05,1,1.79
"model1",1,640,"cvc_frac",0.05,1,6.4
"model2",1,640,"cvc_frac",0.05,1,1.75
"model1",4,640,"cvc_frac",0.05,1,6.07
"model2",4,640,"cvc_frac",0.05,1,1.74
"model1",1,40,"cvc_pmax",0.05,1,6.32
"model2",1,40,"cvc_pmax",0.05,1,1.71
"model1",4,40,"cvc_pmax",0.05,0.99,6.67
"model2",4,40,"cvc_pmax",0.05,0.99,1.78
"model1",1,80,"cvc_pmax",0.05,1,6.56
"model2",1,80,"cvc_pmax",0.05,1,1.79
"model1",4,80,"cvc_pmax",0.05,1,6.71
"model2",4,80,"cvc_pmax",0.05,0.99,1.73
"model1",1,160,"cvc_pmax",0.05,1,6.32
"model2",1,160,"cvc_pmax",0.05,1,1.69
"model1",4,160,"cvc_pmax",0.05,1,6.21
"model2",4,160,"cvc_pmax",0.05,1,1.75
"model1",1,320,"cvc_pmax",0.05,1,6.23
"model2",1,320,"cvc_pmax",0.05,1,1.83
"model1",4,320,"cvc_pmax",0.05,1,6.46
"model2",4,320,"cvc_pmax",0.05,1,1.79
"model1",1,640,"cvc_pmax",0.05,1,6.4
"model2",1,640,"cvc_pmax",0.05,1,1.75
"model1",4,640,"cvc_pmax",0.05,1,6.07
"model2",4,640,"cvc_pmax",0.05,1,1.74
