"model_name","sigma2","n","method","selection_rate"
"model1",1,40,"bic",0.81
"model2",1,40,"bic",0.89
"model1",4,40,"bic",0.77
"model2",4,40,"bic",0.89
"model1",1,80,"bic",0.79
"model2",1,80,"bic",0.99
"model1",4,80,"bic",0.89
"model2",4,80,"bic",0.95
"model1",1,160,"bic",0.94
"model2",1,160,"bic",0.93
"model1",4,160,"bic",0.92
"model2",4,160,"bic",0.98
"model1",1,320,"bic",0.97
"model2",1,320,"bic",0.99
"model1",4,320,"bic",0.92
"model2",4,320,"bic",0.98
"model1",1,640,"bic",0.99
"model2",1,640,"bic",0.98
"model1",4,640,"bic",0.99
"model2",4,640,"bic",1
"model1",1,40,"cv",0.56
"model2",1,40,"cv",0.74
"model1",4,40,"cv",0.46
"model2",4,40,"cv",0.75
"model1",1,80,"cv",0.4
"model2",1,80,"cv",0.75
"model1",4,80,"cv",0.5
"model2",4,80,"cv",0.77
"model1",1,160,"cv",0.52
"model2",1,160,"cv",0.77
"model1",4,160,"cv",0.54
"model2",4,160,"cv",0.79
"model1",1,320,"cv",0.4
"model2",1,320,"cv",0.71
"model1",4,320,"cv",0.49
"model2",4,320,"cv",0.8
"model1",1,640,"cv",0.58
"model2",1,640,"cv",0.76
"model1",4,640,"cv",0.57
"model2",4,640,"cv",0.75
"model1",1,40,"fy",0.97
"model2",1,40,"fy",0.94
"model1",4,40,"fy",0.96
"model2",4,40,"fy",0.9
"model1",1,80,"fy",0.9
"model2",1,80,"fy",0.99
"model1",4,80,"fy",0.95
"model2",4,80,"fy",0.95
"model1",1,160,"fy",0.97
"model2",1,160,"fy",0.91
"model1",4,160,"fy",0.96
"model2",4,160,"fy",0.95
"model1",1,320,"fy",0.97
"model2",1,320,"fy",0.95
"model1",4,320,"fy",0.91
"model2",4,320,"fy",0.96
"model1",1,640,"fy",0.98
"model2",1,640,"fy",0.93
"model1",4,640,"fy",0.97
"model2",4,640,"fy",0.97
